"+forward"				"Move forward"
"+back"				"Move back"
"+left"				"Turn left"
"+right"				"Turn right"
"+moveleft"				"Move left (strafe)"
"+moveright"			"Move right (strafe)"
"+jump"				"Jump"
"+duck"				"Duck"
"+moveup"				"Swim up"
"+movedown"				"Swim down"
"+strafe"				"Strafe modifier"
"+attack"				"Primary attack"
"+wpn_secondaryatk"		"Toggle attack mode"
"+reload"				"Reload weapon"
"vdiscipline_last"		"Use vampire power"
"vdiscipline_endall"		"End active Disciplines"
"+use"				"Use"
"+speed"             		"Walk"
"slot2"				"Melee Weapons"
"slot3" 				"Ranged Weapons"
"slot5"				"Armor"
"slot6"				"General Inventory"
"invprev"				"Previous selection"
"invnext"				"Next selection"
"lastinv"				"Last used weapon"
"dropitem"				"Drop current Item"
"showhotkeys"			"Hotkey Menu"
"+feed"				"Feeding"
"+chareditor"			"Character Editor"
"holster"				"Holster Weapon"
"+questlog"				"Quest Log"
"togglecamera"			"Toggle 3rd person camera"
"+mlook"				"Mouse Look"
"snapshot"				"Take screen shot"
"save quick"			"Quick save"
"load quick"			"Quick load"
"dlghist"				"View Dialog History"
"dlgscrldn"				"Dialog History Scroll Down"
"dlgscrlup"				"Dialog History Scroll Up"
